Date,Merchant,Category,Amount
2025-01-03,University,Education,417.85
2025-01-04,Walmart,Groceries,-356.8
2025-01-04,Booking.com,Travel,413.87
2025-01-05,Delta Airlines,Travel,-120.97
2025-01-06,Walmart,Groceries,-390.64
2025-01-06,Amazon,Shopping,54.99
2025-01-07,Netflix,Subscriptions,-337.3
2025-01-08,Landlord,Rent,381.8
2025-01-09,Movie Theater,Entertainment,-128.26
2025-01-09,Insurance,Healthcare,-112.33
2025-01-11,Doctor Visit,Healthcare,-418.55
2025-01-11,McDonald's,Dining,-338.0
2025-01-11,Udemy,Education,-275.45
2025-01-12,University,Education,-348.84
2025-01-13,Starbucks,Dining,-181.61
2025-01-13,Movie Theater,Entertainment,499.67
2025-01-14,Gas Station,Transportation,-8.3
2025-01-14,Comcast,Utilities,-326.91
2025-01-14,Booking.com,Travel,-18.58
2025-01-15,Coursera,Education,-200.75
2025-01-16,McDonald's,Dining,476.24
2025-01-18,Coursera,Education,160.57
2025-01-18,Netflix,Entertainment,308.47
2025-01-19,Comcast,Utilities,453.95
2025-01-19,Uber,Transportation,-402.1
2025-01-19,Starbucks,Dining,-20.59
2025-01-20,Comcast,Utilities,-111.34
2025-01-21,Uber,Transportation,-154.51
2025-01-21,Spotify,Entertainment,458.39
2025-01-21,Gas Station,Transportation,322.08
2025-01-21,Gas Station,Transportation,-415.06
2025-01-21,Delta Airlines,Travel,-328.19
2025-01-21,Doctor Visit,Healthcare,-6.86
2025-01-22,eBay,Shopping,-397.79
2025-01-23,Movie Theater,Entertainment,-132.84
2025-01-23,Comcast,Utilities,259.33
2025-01-23,Insurance,Healthcare,-108.0
2025-01-23,Gas Station,Transportation,-164.28
2025-01-24,PG&E,Utilities,-389.85
2025-01-24,Apple,Subscriptions,-331.59
2025-01-25,Starbucks,Dining,-388.28
2025-01-25,PG&E,Utilities,-340.61
2025-01-27,Landlord,Rent,23.86
2025-01-27,Udemy,Education,-66.17
2025-01-27,University,Education,450.62
2025-01-27,Comcast,Utilities,-60.79
2025-01-27,Pharmacy,Healthcare,-371.61
2025-01-29,Amazon,Shopping,300.77
2025-01-29,AT&T,Utilities,-357.54
2025-01-29,Apartment Complex,Rent,97.81
2025-01-29,Delta Airlines,Travel,463.19
2025-01-30,Apple,Subscriptions,-71.41
2025-01-30,Trader Joe's,Groceries,-352.47
2025-01-30,Uber,Transportation,-9.16
2025-01-31,Amazon,Shopping,-478.0
2025-02-01,University,Education,12.29
2025-02-01,Netflix,Entertainment,-134.87
2025-02-03,eBay,Shopping,266.77
2025-02-03,McDonald's,Dining,-309.92
2025-02-03,McDonald's,Dining,-299.11
2025-02-05,Airbnb,Travel,-28.13
2025-02-06,Amazon Prime,Subscriptions,444.51
2025-02-07,Landlord,Rent,34.26
2025-02-07,PG&E,Utilities,-253.98
2025-02-07,Netflix,Entertainment,-17.72
2025-02-08,PG&E,Utilities,-125.91
2025-02-08,Udemy,Education,-105.27
2025-02-08,Doctor Visit,Healthcare,-122.01
2025-02-09,Lyft,Transportation,-59.3
2025-02-10,Airbnb,Travel,-181.04
2025-02-10,Netflix,Subscriptions,-185.78
2025-02-11,PG&E,Utilities,438.0
2025-02-14,Netflix,Entertainment,441.39
2025-02-14,Pharmacy,Healthcare,-265.13
2025-02-14,Netflix,Entertainment,-87.27
2025-02-15,Target,Shopping,-433.06
2025-02-16,Insurance,Healthcare,-190.97
2025-02-16,Amazon Prime,Subscriptions,467.8
2025-02-17,Target,Shopping,-419.08
2025-02-18,Lyft,Transportation,158.61
2025-02-18,Pharmacy,Healthcare,-421.01
2025-02-18,Chipotle,Dining,-454.29
2025-02-19,Trader Joe's,Groceries,410.2
2025-02-19,Insurance,Healthcare,-417.51
2025-02-20,Amazon,Shopping,-308.85
2025-02-21,Landlord,Rent,129.99
2025-02-21,Starbucks,Dining,-137.75
2025-02-21,Apartment Complex,Rent,53.86
2025-02-22,eBay,Shopping,-105.92
